party-id,collision-id,party-number,party-type,is-at-fault,is-on-duty-emergency-vehicle,is-hit-and-run,airbag-code,airbag-description,safety-equipment-code,safety-equipment-description,direction-of-travel,street-or-highway-name,speed-limit,movement-prec-coll-code,movement-prec-coll-description,sobriety-drug-physical-code-1,sobriety-drug-physical-description-1,sobriety-drug-physical-code-2,sobriety-drug-physical-description-2,gender-code,gender-description,stated-age,driver-license-class,driver-license-state-code,race-code,race-desc,v-1-year,v-1-make,v-1-model,v-1-color,v-1-is-vehicle-towed,lane,thru-lanes,total-lanes,is-dre-conducted
13898181,4540782,2,ParkedVehicle,,False,False,,,,,W,I-580,65,O,PARKED,A,HAD NOT BEEN DRINKING,,,,,,,,,,1987,TOYT,4-RUNNER,SIL,False,RT-SHLD,4,4,False
13898180,4540782,1,Driver,True,True,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I-580,65,P,MERGING,A,HAD NOT BEEN DRINKING,,,M,MALE,34,C,CA,,,2023,DODG,CHARGER,BLK/WHI,False,RT-SHLD,4,4,False
13898045,4540717,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-80,50,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,40,C,CA,,,2024,FORD,EXPLORER,GRY,False,3,6,6,False
13898044,4540717,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-80,50,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,19,C,CA,,,2014,NISS,VERSA,GRY,False,3,6,6,False
13898011,4540696,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,SR-13,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,33,C,CA,,,2023,HOND,HR-V,GRY,False,2,2,2,False
13898006,4540693,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,42,C,CA,,,2022,TOYT,SIENNA,SIL,False,2,4,5,False
13898005,4540693,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,38,C,CA,,,2023,NISS,ROGUE,RED,False,1,4,5,False
13898004,4540693,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,R,OTHER,A,HAD NOT BEEN DRINKING,,,F,FEMALE,36,B,CA,,,2015,SUBA,WRX,SIL,True,1,4,5,False
13897470,4540427,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,SR-13,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,50,C,CA,,,2024,TSMR,Y,GRY,False,1,1,2,False
13897469,4540427,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,SR-13,65,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,F,FEMALE,65,C,CA,,,2002,TOYT,4-RUNNER,GRY,True,1,1,2,False
13897269,4540330,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I-580,65,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,56,C,CA,,,2008,TOYT,COROLLA,BLK,True,EXIT,4,5,False
13897268,4540330,2,Driver,,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I-580,65,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,45,U,CA,,,2006,TOYT,PRIUS,BLK,True,EXIT,4,5,False
13897267,4540330,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,18,C,CA,,,2021,HYUN,ELANTRA,WHI,True,EXIT,4,5,False
13897151,4540267,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,SR-13,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,44,C,CA,,,2014,NISS,VERSA,SIL,False,S/B,1,1,False
13897150,4540267,2,Driver,,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,F,FEMALE,77,C,CA,,,2009,LEXS,IS250,WHI,False,S/B,1,1,False
13897149,4540267,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,SR-13,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,35,C,CA,,,2025,JEEP,COMPASS,RED,False,S/B,1,1,False
13894899,4539127,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,I-880,65,B,PROCEEDING STRAIGHT,B,HBD-UNDER INFLUENCE,,,F,FEMALE,43,C,CA,,,2017,NISS,ALTIMA,WHI,False,1,5,5,False
13894891,4539122,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,F,OCCUPANT SHOULDER HARNESS NOT USED,N,I-880,55,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,50,A,CA,,,2017,FRHT,TRUCK TRACTOR- DIESEL,WHI,False,4,4,5,False
13894890,4539122,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,N,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,21,C,CA,,,2015,TOYT,CAMRY,BLK,False,3,4,5,False
13894889,4539122,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,N,I-880,65,R,OTHER,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,,,,,,,,False,2,4,5,False
13894866,4539110,2,Driver,,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,60,C,CA,,,1996,TOYT,COROLLA,BLU,True,2,4,4,False
13894865,4539110,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,E,I-580,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,1,4,4,False
13894860,4539107,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,N,I-880,45,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,47,C,CA,,,2023,TESL,MODEL Y,WHI,True,1,4,4,False
13894859,4539107,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,N,I-880,45,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,55,C,CA,,,2009,TOYT,RAV4,BRO,True,1,4,4,False
13894808,4539079,1,Driver,True,False,True,M,AIR BAG NOT DEPLOYED,B,OCCUPANT UNKNOWN,N,I-880 N/B TO HEGENBERGER RD.,65,E,MAKING LEFT TURN,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,CA,,,2008,TOYT,COROLLA,SIL,False,LT-1,0,3,False
13894776,4539060,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,N,I-880,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,71,A,CA,,,2024,VOLK,VNR,BLU,False,4,4,6,False
