party-id,collision-id,party-number,party-type,is-at-fault,is-on-duty-emergency-vehicle,is-hit-and-run,airbag-code,airbag-description,safety-equipment-code,safety-equipment-description,direction-of-travel,street-or-highway-name,speed-limit,movement-prec-coll-code,movement-prec-coll-description,sobriety-drug-physical-code-1,sobriety-drug-physical-description-1,sobriety-drug-physical-code-2,sobriety-drug-physical-description-2,gender-code,gender-description,stated-age,driver-license-class,driver-license-state-code,race-code,race-desc,v-1-year,v-1-make,v-1-model,v-1-color,v-1-is-vehicle-towed,lane,thru-lanes,total-lanes,is-dre-conducted
9371825,2289654,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,60,C,CA,,,2023,GMC,SAVANNA,WHI,False,4,4,4,False
9371824,2289654,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,68,C,CA,,,2024,CHEV,SILVERADO,BLK,False,4,4,4,False
9371823,2289654,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,M,MALE,70,F,AL,,,1997,HOND,CIVIC,GRN,False,3,4,4,False
9371124,2289292,2,Driver,,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,S,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,35,C,CA,,,2017,CHEV,MALIBU,WHI,False,1,4,4,False
9371123,2289292,1,Driver,,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,S,I-880,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,,,,,,,,False,3,4,4,False
9371085,2289271,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,W,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,64,U,CA,,,2015,BMW,535,SIL,False,2,4,4,False
9370259,2288840,3,Driver,,False,False,B,UNKNOWN,B,OCCUPANT UNKNOWN,E,I-580,65,A,STOPPED,G,IMPAIRMENT_NOT_KNOWN,,,M,MALE,53,C,CA,,,2017,TOYT,TACOMA,GRY,False,4,4,4,False
9370258,2288840,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,28,C,CA,,,2015,NISS,VERSA,WHI,True,4,4,4,False
9370257,2288840,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,E,I-580,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,4,4,4,False
9370160,2288786,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,59,C,CA,,,2006,CHRY,300,WHI,False,2,4,5,False
9370159,2288786,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,E,I-580,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,3,4,5,False
